Function,Algorithm,Mean Fun,Median Fun,Max Fun,Min Fun,Mean Nit,Median Nit,Max Nit,Min Nit,Mean NFEV,Median NFEV,Max NFEV,Min NFEV,Mean Time,Median Time,Max Time,Min Time
cec2017_f1,DE,100.00004390445774,100.0000292758793,100.00024978170661,100.00000003219604,363.0,362.0,405,317,54682.39215686275,54575.0,60977,47766,8.610993012470587,8.519715922000001,11.191677556,7.3166926000000005
cec2017_f1,DE_d_blended,100.00034378126395,100.00001713593072,100.01612474270252,100.00000000490307,147.33333333333334,149.0,170,122,22328.29411764706,22566.0,25716,18516,5.558870521980392,5.537824193,6.335714294,4.588503662
cec2017_f2,DE,200.00008838311763,200.00007868141165,200.00029898627022,200.00000978020213,221.35294117647058,225.0,260,162,33641.098039215685,34131.0,39524,24835,6.539656969960784,6.615582104,8.216276580999999,4.938232847
cec2017_f2,DE_d_blended,200.00014166975998,200.00010811415012,200.00090366859246,200.00001395353223,80.3921568627451,81.0,95,68,12476.490196078432,12564.0,14664,10581,3.5559370297254906,3.510445174,5.592756404999999,2.9730756950000004
cec2017_f3,DE,300.00000008349934,300.00000000503746,300.00000119516176,300.0000000000011,385.94117647058823,388.0,423,341,58162.82352941176,58460.0,63721,51421,10.908184669313727,10.867121914,13.042902152,9.474761454000001
cec2017_f3,DE_d_blended,300.0000001613909,300.0000000077466,300.00000172510426,300.000000000009,80.6078431372549,79.0,97,68,12357.0,12110.0,14799,10460,4.459667519137255,4.345554134,6.371879678,3.1933993099999998
cec2017_f4,DE,400.000022620875,400.0000091711866,400.00015270167745,400.00000012584144,500.52941176470586,505.0,574,385,75305.76470588235,75977.0,86327,57977,12.512692042039216,12.628942557,13.775021493999999,9.949803115
cec2017_f4,DE_d_blended,400.0000424997117,400.0000176530294,400.00025249983094,400.0000000184943,143.92156862745097,143.0,177,62,21825.58823529412,21699.0,26766,9538,6.229544458901962,6.1202781470000005,9.590975846000001,3.1344852210000003
cec2017_f5,DE,504.9943031634159,504.97479528696067,513.9294116910726,500.00000000000733,1527.0196078431372,1463.0,3074,751,229262.4705882353,219644.0,461327,112866,34.98528880888235,33.186150471,74.18668405599999,17.405410111
cec2017_f5,DE_d_blended,505.54055533333633,504.9747955633386,510.9445448493317,500.99495909795144,899.9803921568628,881.0,1969,176,135186.0980392157,132333.0,295522,26605,30.614258302784318,29.997829033,67.090114857,6.726668251
cec2017_f6,DE,600.0011794661622,600.0011265936491,600.0024739903373,600.0004088681443,221.3921568627451,218.0,289,179,33612.03921568627,33125.0,43764,27220,8.620791529941178,8.427398203,12.367754393,5.996580485
cec2017_f6,DE_d_blended,600.0426780494998,600.0009274739515,600.5596879539409,600.0003894464949,124.58823529411765,120.0,199,91,19105.470588235294,18304.0,30594,13998,6.934338464137253,6.758585701,10.20403038,4.956561378
cec2017_f7,DE,713.9858785006531,714.052349248347,719.6169163209573,702.9848771712826,2404.901960784314,2442.0,4936,827,360943.7450980392,366516.0,740583,124266,77.02602076468627,77.871445771,156.58225754400002,27.208649776
cec2017_f7,DE_d_blended,713.0003200188299,713.0385500064261,716.8199928539341,702.6188884002512,3163.078431372549,2886.0,6229,1317,474655.76470588235,433083.0,934511,197733,138.61497164609804,126.34095118,273.054554515,57.467091638
cec2017_f8,DE,804.7601955549313,804.974795285518,809.9495804961064,800.9949590571224,1617.4313725490197,1525.0,2895,632,242835.66666666666,228977.0,434477,95038,42.0886101362353,39.437482443,74.190007534,17.177163711
cec2017_f8,DE_d_blended,804.1163989061263,803.9798362294887,811.939498611819,800.9949590570933,1065.921568627451,931.0,2466,160,160070.58823529413,139833.0,370094,24205,39.6948097125098,34.377660254,90.303241999,6.525836295
cec2017_f9,DE,900.0000009032,900.0000002850499,900.0000100003106,900.0000000001628,123.90196078431373,125.0,149,98,18824.37254901961,18977.0,22599,14949,4.647921532980392,4.520848588,6.510291827,3.714602111
cec2017_f9,DE_d_blended,900.0267278126702,900.0000003870792,900.4543403293424,900.000000000457,65.68627450980392,65.0,81,52,10083.392156862745,9955.0,12410,8016,3.7734875451176473,3.606649494,6.033696555000001,2.76318843
cec2017_f10,DE,1057.6059377497324,1018.4097562302841,1240.9315082034818,1000.249945040172,1914.6274509803923,1906.0,3504,978,287411.4117647059,286094.0,525816,146916,59.75653944725491,59.159942903,107.80086023199999,30.703236065000002
cec2017_f10,DE_d_blended,1076.8162126442332,1118.6258252132166,1252.4487611516993,1000.1250361582925,3000.098039215686,2570.0,8452,704,450226.17647058825,385661.0,1268038,105816,125.96846224109802,108.128848521,354.116488057,30.084118411
